epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,168.156,1.11213,2.16908,1.11745,1.18445,0.4215,0.32589,0.30255,0.16205,0.43234,0.33482,0.26644,0.10058,1.6551,3.10036,2.06158,1.62554,0.0011684,0.0011684,0.0011684
44,170.339,1.1405,2.09186,1.11698,1.21407,0.42166,0.33929,0.32734,0.18362,0.44837,0.28125,0.25722,0.10396,1.71009,3.72823,2.08164,1.70642,0.0011486,0.0011486,0.0011486
45,172.437,1.14179,2.09897,1.09391,1.19889,0.59868,0.29911,0.3419,0.18937,0.37923,0.41964,0.31724,0.12995,1.67707,3.04985,2.08672,1.57466,0.0011288,0.0011288,0.0011288
46,174.516,1.1003,2.16042,1.08954,1.19737,0.59084,0.34375,0.37392,0.21476,0.60009,0.32589,0.35551,0.16274,1.65175,3.00572,1.93066,1.56326,0.001109,0.001109,0.001109
47,176.624,1.09839,2.02711,1.05728,1.18507,0.54175,0.41071,0.41384,0.24779,0.52348,0.39732,0.38589,0.18676,1.58412,2.95808,1.87222,1.54311,0.0010892,0.0010892,0.0010892
48,178.846,1.11782,2.06901,1.06414,1.19576,0.61302,0.39604,0.41891,0.22836,0.51132,0.37946,0.36012,0.15953,1.59854,3.26304,1.9274,1.55292,0.0010694,0.0010694,0.0010694
49,180.925,1.06288,1.97318,1.01758,1.16939,0.61217,0.4375,0.43888,0.24185,0.55068,0.42677,0.3923,0.1778,1.57763,3.17359,1.9495,1.54014,0.0010496,0.0010496,0.0010496
50,182.976,1.05703,2.03968,1.00871,1.16283,0.51719,0.44643,0.40514,0.2317,0.49684,0.42857,0.38193,0.18067,1.55687,3.17499,2.00065,1.53346,0.0010298,0.0010298,0.0010298
51,185.103,1.05173,2.04484,1.01523,1.16766,0.65591,0.37946,0.40278,0.23279,0.63879,0.37054,0.39256,0.18739,1.55302,2.91154,1.90891,1.50847,0.00101,0.00101,0.00101
52,187.192,1.06846,2.04923,0.99221,1.17674,0.59911,0.33482,0.3788,0.23017,0.46425,0.40233,0.34726,0.17419,1.54437,2.87546,1.97294,1.51913,0.0009902,0.0009902,0.0009902
