epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,954.235,0.81299,1.66083,0.65361,1.02363,0.87728,0.79646,0.87143,0.68734,0.89632,0.76916,0.85446,0.52846,0.79729,1.64582,0.6296,0.93983,0.000911,0.000911,0.000911
57,971.576,0.79918,1.61342,0.62838,1.01514,0.8789,0.79248,0.86891,0.68502,0.88136,0.77778,0.8521,0.52761,0.78179,1.63576,0.62981,0.93649,0.0008912,0.0008912,0.0008912
58,988.47,0.78422,1.59187,0.62761,1.00991,0.87882,0.79888,0.86918,0.69067,0.87125,0.79078,0.85406,0.52694,0.78193,1.64118,0.62497,0.93052,0.0008714,0.0008714,0.0008714
59,1005.01,0.80269,1.61963,0.63358,1.01305,0.8582,0.81161,0.86854,0.68943,0.86594,0.79406,0.85698,0.53252,0.78583,1.62663,0.62703,0.9415,0.0008516,0.0008516,0.0008516
60,1022.07,0.79975,1.60271,0.62311,1.01067,0.88565,0.78638,0.86714,0.6996,0.88319,0.77826,0.85272,0.53469,0.7645,1.61604,0.6065,0.92868,0.0008318,0.0008318,0.0008318
61,1039.84,0.79083,1.5966,0.61808,1.01177,0.87509,0.80556,0.87397,0.69758,0.87696,0.79693,0.86167,0.53262,0.77055,1.60494,0.61228,0.92791,0.000812,0.000812,0.000812
62,1056.85,0.78284,1.59518,0.61774,1.00311,0.88337,0.79789,0.86936,0.69576,0.87916,0.79094,0.85056,0.52952,0.76476,1.60697,0.61494,0.92735,0.0007922,0.0007922,0.0007922
63,1074.19,0.77629,1.57437,0.61849,1.00828,0.899,0.78441,0.87136,0.69793,0.90004,0.77251,0.85139,0.52912,0.7669,1.60897,0.61358,0.92061,0.0007724,0.0007724,0.0007724
64,1091.41,0.78426,1.59228,0.62345,1.00479,0.89695,0.78783,0.87562,0.70204,0.89162,0.7801,0.86085,0.5376,0.75786,1.60817,0.60582,0.92401,0.0007526,0.0007526,0.0007526
65,1108.45,0.77894,1.59399,0.60702,1.00818,0.88303,0.7931,0.87475,0.70533,0.87843,0.7925,0.8599,0.53967,0.75242,1.59289,0.60101,0.92137,0.0007328,0.0007328,0.0007328
66,1125.29,0.77804,1.58299,0.61172,1.0057,0.87894,0.79626,0.87563,0.69782,0.87799,0.78924,0.85865,0.53732,0.75788,1.59086,0.6061,0.92831,0.000713,0.000713,0.000713
67,1142.29,0.76805,1.56081,0.60422,0.99628,0.87913,0.80121,0.87589,0.70221,0.87566,0.79502,0.85691,0.53308,0.75176,1.59702,0.61025,0.92428,0.0006932,0.0006932,0.0006932
68,1159.05,0.76419,1.5691,0.60798,0.99945,0.87657,0.80268,0.87541,0.70498,0.87696,0.79196,0.85612,0.53309,0.75467,1.58838,0.6038,0.91891,0.0006734,0.0006734,0.0006734
